Country,title
GB,First Boyfriend
,Seikurabe (Karaoke)
,G G Kah
,The Mission
US,Two-Sided Politics
US,La Matanza
,On Tha Rox
,L'Amour en Heritage
,Medley Final
,All Over Now
,Cuando Ya Me Empiece A Quedar Solo
,Beautiful
,No More Troubles
US,L.A. Arteest Café
,Juggernaut
,Had To Call (featuring Snoop Dogg & Sleepy Eyed Jones)  (Explicit Chopped & Screwed Version)
CA,Runaway Train (LP Version)
,Letters to Norway
,They Know (Remix)
,Still Love Remains (Album Version)
,The First Leaves Of Autumn
,Bright Lights_ Big City
,Maybe Someday...
,j Uh!
,Le clair de lune à maubeuge
,Seventy Times Seven (LP Version)
,Life Is Real
,Snow [Hey Oh] [Live Version]
CH,Silence
,Absolute Horizon
,Turnpike
US,Spoonful
,Si Te Dicen Por Ahi
,L'Etang Chimérique
,On The Road To Emmaus
US,Need More Blues
,Werewolf_ Semen And Blood
US,Moritat (Mack The Knife)
,If You Ask Me
DE,"Beauty Queen (12"" Spoon Club Mix)"
US,Pickled Heads
,El Capiro
,Revelations
BR,Little Cry For Him (Chorinho Pra Ele) (LP Version)
US,Silence
,Just Like Lightnin'
,Lost In The Funhouse Again
BE,The White Spirit
,Escape From The City
,Cri'r Adar Main
US,Time Zone (Album Version)
US,We're Together Again
,If Your Na Na Get Wet
,Mine Again
,Gone
,No One Knows
GR,Procession
SE,Multiplayer
,Vennette
IE,The  First Of The Year
US,Ooh La La
,Airto's Jazz Dance
US,When Summer's Through
US,Bobby's Girl (Previously Unreleased Demo - Stereo)
,The Traveller
,Freight Train
,Cuando Quieres Tu
,Let It Be Me
,Aquel Amor
,Unicorn
,Into Battle
,(Do)Minion
,Active
,Interlude: Livin'...In Complete Darkness
,Li Jia Chu Zou
,Times Like These
CA,I'm A Killer
CD,Djessy
,Nightly Cares
,Love Selecta (feat Iffectz & Marwa)
US,Whosoever Will (LP Version)
,A Girls Oath
,Rossignol Montmartrois (Polka)
,Ku Klux Klan
US,Anybody Seen My Girl
,Lively Up Yourself
,I'm All Yours (LP Version)
GB,Get On Our Own
,Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo
,Just My Baby
US,Because Of You
SE,I denna ljuva sommartid
US,Shape Of My Heart
,Firedance
,Hopelessly
,Let's Have Some Fun
US,The Keys
,Juste Une Fois
,Prelude In C Minor From The Well Tempered-Clavier
,Love Can Run Faster
,The Blue Side of The Sun
,New Detroit
,da da Diamonds
,Livin' A Lie (Video Mix)
,Proud
,Communication (More Mix)
,Passover
,Wolverine Blues (Slight Flaw In Master) (1940 Blackhawk Restaurant Chicago)
GB,Rock & Roll Renegade
,C'Est Moi L'BO$$
,Soo Bawlz
SE,Blåsut
US,By Faith I Can Touch Him Now
,Wait On The Lord  (LP Version)
,Curiosity
US,Fire (Orange Factory Dub)
BB,Music Of The Sun
,Width Of The World
,Houston Anthem
,Til The Storm Passes By
US,Dinner Party Pool Music
US,More Than One Love
,Pegadito
,Street Lights
,Death of Me
,More Than Vocals (MTV)
,Sentimento (Asteri_ Asteraki)
,Slips Of Paper
,Mesmerise The Future Part 1
US,Backseat Driver
US,Refuge
GB,Sex
,Engel
IT,Oh Little Town Of Bethlehem
,Old Memory
US,The Lord Will Go Before You
US,Mama Talk To Your Daughter (take 2)
,Grow Proper
US,My Chickasay Girl
,Soorma
,Flamme & co
US,Welcome To Hell
,Boyfriend
US,We've Only Just Begun (LP Version)
,Night Won't Last Forever_ The (Kingdom Come Album Version)
,All The Difference In The World
,Memmer?... U Memmer!
,Koronoko
JP,See You Comin'
,Megalodon
US,Telepathy/Ted Haggard Got Cured of the Gay
,Be My Lover
CA,Washed Away
US,Angel Of Heaven's Gate
,American Ghost Dance (2003 Digital Remastered)
,Voices
,Song 2
,Binaural Presentation - Focus On A Beam Emptied Of Thinking_ Outward...
BE,Sophisticated Lady
,Watch Them
US,I Guess I'm Crazy
,Asheville Turnaround
,Pour toute la vie
,Spacer
,Morning's Coming
,Backlash
,Broke Down On The Brazos (Album)
US,Popsy
US,She's About A Mover
,Christe Eleison (Christ Have Mercy) (Center Of My Universe Album Version)
US,Come See
,Ghetto
,This White Circle
,WristStraining Order
,Radio Roy II
,Down at the Mardi Gras
US,Love Dump (Demo Version)
,No-Satellites
,Roorasty
GB,Chinz Ninja (Rui Da Silva mix)
US,Call Of Da Wild
,Dirty Diana
US,Single Man Blues
GB,Mother's Day Part 1
US,I'd Like To Be
GB,Weightless (Demo)
,Conqueror Worm
,White Christmas
US,Arrows Of The Gods
GB,San Juan
,Classic Material
US,Groovin' With Jimmy
,Au mariage des Levon-Lecu (Live)
US,Wonderful Peace
,Mate Tron
,Time Will Tell
,Ladies And Gentlemen
,E
SE,Deviate From The Form
,Mambo Tipico
,The Door
US,Dichoso
US,Better Luck Next Time
,Todo Lo Que Soy
,La mujer que no sone (Album)
US,Baby Don't You Change
,Early In The Morning
GB,Sportin' Life
FR,Valse Des Montagnes
SE,The Three-Dimensional Shadow
SE,Souvenirs
,Train Tracks
,Unchain Us
,Carry The Light
US,Hot Weiners (All The Way)
,Down_ Down_ Down
,Call The Police
US,Scared
DE,Don't Go
US,She's Actin Bad
,The Harp That Once Through Tara's Halls
US,You'll Never Know
,Feel It Boy (Deep Dish Danchall Remix) (Feat. Janet Jackson)
FR,Auprès De Mon Arbre
,Basking Under a Blacksun Dawning
,Freedom
,Let It Bleed
,Touch My Hand [Remastered]
,Hide Away
GB,Never Gonna Be The Same
,Beothuck
,Uu-Pee-Ämmät
US,After The Laughter
US,That Little Ole Wine Drinker Me - Original
,CB4 (Instrumental Mix)
,Pop Pop
GB,Grateful & Thankful
,The Minuet Of The Robots
,Another Djemba Djemba
,Je T'Appartiens
,Paseo Colòn
,Shotgun Sally
,Rock On The Radio
,Awake
,Fat Tuesday
,Recordar Es Vivir
,You do something to me
,Cherokee
,Heavenly Father
,Try Me One More Time
,When You See Me
,Plastic People (Original Mix)
US,One Million Matches
RS,U Complete Me (Blues Version - Bonus Track)
,Viens boire un petit coup à la maison
,Let Me Be Your Fantasy
,La Nit De Reis
US,Stuck On Your Love
,Cheddar Chasin'
,Violence
,Seventeen (Digitally Remastered)
US,Baby Face
GB,Cut Here
US,Carovana
FR,La Vie Par Procuration
,Secret
US,Fig Leaf Rag  (LP Version)
,A Night in Tunisia
,Beautiful
,Nothing But The Best
US,Come On-a My House
US,Wing
CA,Believe
,Soñando En Ti
,Cremona (Instrumental)
US,Loaded Gun
,Blues City Shake Down
US,Why Get Up
,Vos No Confiaste
,There Is A Redeemer (Your Love Broke Through Album Version)
,What Country Is
,Memories
,Cumpagno 'e cella
,Paloma Negra
US,317 East 32nd
,Kill the Poor
US,Over The Hill
,Jamming
,Future
US,Naked Enough
,The Beginning
US,Drive
,Can't Stop Lovin' You (Remastered Album Version)
US,Rock Co.Kane Flow
,Running On The Rocks
US,These Nest Five Years
,It Came To Pass (Part II)
,Magic Dragon Theatre
,Function Of The Sun
,I Want Your Soul For Christmas
,Nach Ke VEkha Bhabhiyie
US,(Everybody's Waiting For) The Man With the Bag
,Dimension
DK,Faroe Cave Song
US,It's Going Down
DE,Cha Cha Brasilia
DE,Schmerzensschreie
GB,Gimme Legs
,Bush
,The Devil
,Mary In Labor
,Shining
,Number Nine (LP Version)
,Friend Or Foe
,For The First Time
,Can't Happen Here
,La (Moonman's Flashover Mix Edit)
US,Love The Feeling - Original
US,Pee Wee's Boogie
,t.k.k.
,Caray!
,La marine
,Crescent Moon
DE,Radiance I
US,Inherent Scars
,Trading Places
,Mom's Phone
,I Am a Rasta Man
,Dub It
JM,Woman of Shiloh
,The Southern Soldier Boy
US,Bon Demain
,Zurezko Olerkia
US,When I Get Home
US,He's Leading The Way
,It's Too Late
,Widow's Walk
US,Love Of My Life
,Memories
US,It All Depends On You
,The Traffic Jam
,Beautiful When You're Green
,Rock Biter (Album Version)
,Edge Of The Dream (Emergency Broadcast Album Version)
US,Broken Hearted Side Of New Orleans
,Hot Spot (Terrible Love Mix)
,If We Loved
MX,Pasa el tiempo
US,Dial Me
FR,Resistance
US,Sing Boy Sing
,Irreplaceable (Irreemplazable)
,Shadows
,Isn't That Just Like God (Medium Key Performance Track Without Background Vocals)
,Shoulda Did
US,Vena Cava 8
,Magic
,Imagination
GB,Between The Worlds
,A Night at Mahmoud's
US,Sprung (Cibola Mix W/ Rap)
,La Romance De La Pluie
,Spoken Words by Bishop Joseph Garlington
,Ya Mama (Palm Springs Demo)
,Veronica Sawyer (Album)
US,Faith
,Chanson De La Patience
,Et kütt wie et kütt
,Searching
,Le Dormeur du Val
,Sapphire
,Ring The Alarm
US,Ouachita Run (Album Version)
US,Rainbow '65 (part 2) - Live
US,The Blood Covers It All (Live)
,Led By the Master's Hand
,Kenourgia Fotia
US,Moonlight In Vermont
,Now U Got It
,I've never been so Lonely
US,I Love You (LP Version)
,Decline Of the Western Civilization
,Dancing With Myself (BBC In Concert 01/01/81)
,Evening
,Hey!
,Midnight
,Brother
,Civilized Reggae
,What Is A Woman For? (BBC In Concert)
,Otra Parte De Mi (1997 Digital Remaster)
,Macarena
,Cover To Cover
,Kesäilta Saimaalla
US,What's The Matter With The Mill
US,Let me fly
,En fet man
,Now I Got A Woman
GB,Nothing's The Same
,Stolen Pills
US,Outro
,Sloppy Love Jingle_ Pt. 3 (Amended Album Version)
,Patricia
,A Dustland Fairytale
US,Through The Eyes Of Faith
US,Loves Parting
,Still Lost in the Forest
US,So Many Roads
,We're Almost There
,Blame Canada ( From: South Park )
,A Different Kind of Love
,B-Boy Stance
DE,Unfinished Self-Portrait
,Lifeboat Serenade
US,Christmas Time
,Song Sung Blue
IE,Cúnla/The Friar's Breeches
,Party Time
US,Mean And Evil Blues
US,I Feel So Good
,I Need You
,Navy hymn
,We Do It For the Money_ OBVIOUSLY! (Demo)
,Gettin' Better
US,You Don't Know Me
,Warm Spring Night
US,The Hero Dies in This One
,Newborn Blessing (World)
,Below The Stars
ZA,Dab_dab_doo-Party In The Jungle
US,Plexis
,Papito Charme
,Sing Your Freedom
,All They Want
,Sparnuotoji Doze. Laukimas
GB,Around And Around
,NY Timbuctu
,Loko
,Dance_ Dance
,Cry On (Acoustic Demo)
,Le chanteur malheureux
,Bruk Out and Wine
US,Let It Be
,Walkin' In
,Viens Danser Jeannette
ES,No me imagino
US,It Ain't The Meat It's The Motion (LP Version)
,Acapulco Sunrise
,Iki Tas Corba
CA,Guayabera
,Packing Up
,Mirror (Album)
,Donde
US,Must Have Been The Devil
US,I Go To Work
,Is It You?
,Bottle It Up And Go
,El Momento
,My Saviour Is Lord
CA,Country Day
US,Let The Church Rise
GB,Nema Dana Ni Meseca
FR,Cantares
,Sa La Re Wo Di Luo Mi Qu Yu Zhu Li Ye
US,Why
GB,Helium
US,Poison Lips
,I Need To Talk To Hank Hank
,Soldats Ne Tirez Pas
,Walk With You
,Robot Kid
CU,Almendra
,Mikawa Miya
KI,Dat Dere
,Rue de Nantes
,Ren Lai Ren Wang
US,Please Don't Lie To Me
,45 Pounds
,Chela
US,I Know That Car
,Kitteldags
,The Story (get It On)
,Coppershot
,Dump
,Like It's Hot
,El Amor
,Negocio Prohibido
,Dutty Wine
,Won Threw Ate
,Baby
,Why?
,Sizofrenija(duet Ana Nikolic&Aca Lukas)
,Happiness Is Loving You
,Bread Or Blood (Single)
US,The Champ
,Hold On
US,Rock Star (LP Version)
MX,Mediocre (Version original)
,Taste It
US,You've Lost That Lovin' Feelin'
,Einfach
NO,Towards Eternity
,Emit Remmus (Album Version)
,Moses
,Infernal Calling
CA,For Your Passion My Love
,Valérie
,Having You There
,Awake IV
US,Outro
,Lovers Lane Boogie
,Naming Ceremony
US,Gillum Blues
CA,Goodfellas
,Ala Kaboo (Idjut Boy's H-Bar Mix)
,Oceans Of Love (LP Version)
,Jack and Benton
,Nivel De Mafia
,Hechizo
US,London Bridge
US,Strange Days ( LP Version )
,Safe Sex
,A Part Of Me
,Guarda Che Luna
,Space Station Liberty
US,Manteca
US,Tell Jesus [To Come To My House]
CD,Zero
,He's Alright (Album Version)
,In A Distant Place (World)
,Wet The Club
,Por Arriesgarnos
,A Fool's Advice
US,One Fine Day
GR,Tanzen
US,Prolog auf Erden
US,Who Was I Kidding
GB,Rocks Off
GB,Unbreakable
,Spritlåten
,Run The Show featuring Don Omar [en Espanol]
US,Strikes-3
,Watermelon Man (What A Mellow Goy)
US,Got The Bull By The Horns
,Words With Fat Joe
,Pei Chen Pin
US,Some Lie For Love
,Lifewalk
,Vaisakhi Wala Mela
,No Meat Blues
,Si Juras Regresar
US,Don't Worry Now (Performance Track In Key Of Db Without Background Vocals)
,Lentävä kalakukko
GB,Sidney Gorgeous
US,Summer Nite
US,If I Talk To Him
,Protagonist (Album Version)
,Willie And The Pig
,Because He Loves Me
,Black and Blue
US,A True Friend
,Changed My Life
,Give It To 'Em
,Loose Talk
,Intro/Chamber The Cartridge
US,Blank Eye Stare
,Laula kanssain
,Wei Liang
,I Cried All The Way To The Altar
,We're Skrewed (Otto Von Schirach My Supernatural Motorcycle Gang Will Knife U Open Piss & Shit All Over Your Organic Starbucks =iPhone Bank Account Lifeless Lifestyle Remix)
US,Living The Dream
,Hold On Baby
,Judgement Day
,U North
,Everything Your Heart Desires
,Valerie (LP Version)
AT,Main Title / The Searchers
,Prelude No. 2 (2000 Digital Remaster)
GB,Lonely No More
,Donizetti: Roberto Devereux: Ah! Ritorna qual ti spero....
US,Warning
,Shelter Your Needs
,Limelighters (feat. Camp Lo) / Flunkadelic Interlude
,Gnosis
,You Can't Hurry Love  (LP Version)
,Baile Da Pesada
GB,Wildcat Days (1999 Digital Remaster)
AU,Tulip
US,I'll Meet You In The Morning
US,Crushed Pears
,Escape ( LP Version)
,Let It Shine
,Todos mentimos
,The World'll Be OK
,Over Again (Album Version)
,Never Fall
US,Daughters & Sons
ES,En Un Pueblito Español
US,Slow Murder
,Summer Shudder
,Suk The Blood
,Fui Mujer
US,Beholder of Justice (Album Version)
,Explorador
,Mi Suegra
DE,Been Fighting Devilz
,Unleashed
,Welcome Into My World
,Girls Against Boys (LP Version)
FR,What is the best
,Canyon People (World)
,Corner Stone
,Cave It In
,Sally Ann
,Bill's Speech - A New Kind of Warrior
UA,Villagers Galloping To Battle
,Oooh_ Pooh
,Agradeça Ao Pelô
FR,Vitrier
US,Camelot
US,Essaywhuman?!!
US,Homegrown
US,Albinoni's Adagio In G Minor (LP Version)
,When I Think Of You
,Metanoia
,Stay Real
,So Glad
US,Ulcer Breakout
,Porque Me Gusta A Morir
,Freaks (Album Version)
,Monsieur qui s'engraisse
,"Générique - ""le gendarme et les gendarmettes"
,Rio Grnade
GB,Atomic Beat Boy (Album Version)
,Two Wheels In the Ditch
DE,Rette Mich Später (Michael Ilbert Radio Mix)
US,Intro
,Dime Si Me Quieres
GB,Contact 00
,Oso Ego Kanenas
,Monsters In Tinsel Town
US,Did You Ever Go Steady
US,Amen (Album Version)
US,I'm Wanderin'
FR,La Mémoire Des Jours
,8:00
,Jap
US,Slum Goddess (Originally Performed by The Fugs)
,Swing Vagabond
,Não Adianta
,Le Diable
,Remember Me Lover (Album Version)
US,Little Miss Teasin' Brown
FR,Transes-Dimanche
,Antidote For The Underdog
,Hunting
,No Answer (Outro)
US,Not Today
,Last Goodbye
,Last Good Time In Town
,Jump N Shout Featuring Slarta John (Radio Edit)
GB,Why??? featuring TECH N9NE & Twista
,That's A Woman
,I Want What I Want
,Back From The Garden (Live)
,Try
,The Space Between
US,Ver de Feliz
,Get By (Disconnection Notice Bonus Track)
,Still Hurtin'
US,She's Taken A Shine
,Bach Suite No. 1 In G Major (Gigue)
JM,The Rock
US,Undertow
US,Death Or Jail
US,Color of Seasons
,Don't Make Me Wait For Love
,Cornerstone
,Brendan McGlinchey's Reel (Splendid Isolation) / Sweeney's Buttermilk (medley)
,Skyline
,Missing
US,Judy's Jaunt
,The Name Is...
FR,C'est La Vie
US,I've Been Lonely (For So Long)
,Stop Whispering (US Version)
,Leader (Album Version)
,The Best Of Radio Roy 1 (Best of 2009)
US,I Heard You Cry
,On The Road Again
,Another Lesson (Album Version)
US,Please Me (24-Bit Digitally Remastered 02)
,Wave
CH,Your Bad Heart
,Und die Zeit vergeht
US,Serus
,Everything I Do
,June 26th_ 1999 - Slight
,Take Your Fingers From My Hair  (LP Version)
,Dang Pyar Da 
CA,Green Grows the Laurel
,The Doug McComb Over
,Micael
US,Walkin' In The Snow
,Praise His Name (Low Key-Studio Track w/o Background Vocals)
US,Didn't You Notice
,Soldiers Of Doomsday 
US,Dark Inside
,Folly Ranking
US,Good Day
,Midnight Hour
US,Co Co My My
,The Man with the Dogs
US,She cracked
US,Apogee (ft. TechTonic)
,Que Vas A Hacer Conmigo
US,The Remembrance Ballad (Album Version)
BR,Santeleco
US,Get Me To The Church On Time
US,Washboard Swing
US,Anyday
US,Am I That Easy To Forget
,Intro
,The Earth Will Shake
,Magnificent Obsession
,Some Love Like Yours
,Un vestido y un amor (en vivo)
,The Book of Disquiet
,Moon River
US,Gravedom
,Just Say Yes
GB,Commercial Reign
GB,Ghetto Child
CH,Peyte Pivo Pennoe (present for A. Trofimov)
,Dede De Montmartre
,Amie
,Freak Out
,Cover For Me
,Tonight It's Just Me
US,Paid Vacation
,Dancing Shoes
,No Me Llores Más
,Photographs
US,Don't Let Go
,Bad Boy Willie
US,Just A Pair Of Blue Eyes
,Morgane regarde le ciel
IT,The Healer
US,Gin House Blues
US,Intro
,Duo Liu Yi Hui
US,Borgia Liquor
,En silence
,Yo Te Camelo
US,Do Ya Thing (Remix) (Explicit Album Version)
,I Am Going (Album Version)
,Ai De Ka Luo Li
CH,Canción del Arco Iris
,Belina
,Y'all Can't Never Hurt Us (Clean Version)
,Bishop Hopping
,Kids Now
,Lust (1995 Digital Remaster)
,Galopar
JM,The Jumping Master
US,Morpha Too [Alternate Mix]
,Night of the Hunter (Static Revenger Remix)
US,Falling Leaves
US,Tastes So Good To Me
,Nuits Orientales
US,Everyone says i love you
,Poezie De Strada / Street Poetry
US,Boxed In (Subzero)
US,Dark Horse
US,The Kiss: Golden Coins
US,Blood On The Snow
,Gud Har Ein Plan Med Ditt Liv
,I'm Your Boogie Man
AT,Junge Römer
,Should've Said No
,Rainbow Eyes
US,Boy! What Love Has to Me!
,Helena 2 (Album Version)
,Om
,Maria Morena
GB,Phorever People
,Hart(z) IV
,Down On Me
,Still feel pain
,Do You Know? (The Ping Pong Song)
,No. 284
,Superbird
,A Means To An End [Live at Birmingham University] [2007 Re-mastered]
CA,Silence tells you all
,Play
,The Shaskeen / Gan Ainm
US,Let It Be Me(with Betty Everrett)
,Been Sick Lung
,Shooby (Live Version)
,By My Spirit  ()
,I Don't Want To Hear Any More
CO,Congo
,Where Are You
US,July
,Warm Embrace (LP Version)
,911-544
US,If A Woman Answers
,All Your Love
US,If You Build A Better Mousetrap
US,My Babe
,10 $ Bill
,Knuckle Up
,At The Atlantis
,ABC (The Alphabet Song)
,Get Together - Album Version
,Candilejas
,It's In The Book (Album Version)
CA,No Safe Place
,Le rire du sergent
,Ballo
,Sex (French Version)
,All Mama Ever Wanted  (Album)
US,Over The Rainbow
,Boss-Eyed Whelk
US,United Blood (Album Version)
,Le poulet
CA,Killed By Love
US,See You On The Other Side
,Daydreaming the Color of Blood
,Kablammin' It
,Don't Mess With Cupid (1972 demo)
,Never Again
US,Real Playaz
US,Everybody Wants To Go To Heaven
,The Last Thing On My Mind (Previously Unissued)
US,In A Village Square
,Jam 4 U
US,Ladder Of Success
,We Meet at Last
,Passo De Anjo
,The Song From Moulin Rouge
,Herb Philbrick - Counter Spy ( LP Version )
,Shake It Up (Album Version)
,Shadrach
,Andante Cantabile (String Quartet No 1 In D Major
,Help Youngblood Get To the Freaky Party
,Mon coeur balance
,We're New Yorkers Now!
US,Let's Fall In Love This Christmas
,D Solo
US,Ive Got Confidence
US,Mercury & Solace
US,My Last Date (With You)
,Judgement
,Rewind
,Jump [Jacques Lu Cont Edit]
JM,More Than I Can Take
,BLEEDS NO MORE (Live Version)
,Buzz's Jig
,Keep It Like It Is
US,Death Adventure
CU,Infantil (Dedicated to John McLaughlin)
,"Got To Keep On (12"" Version)"
US,Please Hammer Don't Hurt 'Em
,Surfriendo El Castigo
,1st World Hypocrisy
,Come With Me
,The Never-Ending Why
US,Woman Blue
,Ruta Del Coya
,Lost Tribe
DE,Lachen und weinen
,Pretty Vacant
,It Feels So Good (Album Version)
,Boo Hoo
,Rock Me Baby - Live
,(Coming With) Loving on My Mind
,Para Que Recordar
GB,Son of Jack the Ripper
US,Head Over Heels
US,Day Old Blues
US,Joyride
US,Just An Illusion
US,Ex's And Oh's (Instrumental Version)
US,Chaco (Album Version)
US,Our Love Is A Living Thing
US,Memory
,Next Year
US,Away in a Manger
,Zai Ai Shang Ni
,Don't Stop The Music (Streetlight Album Version)
,I Need Love
,Boca Do Balao / Preta Pretinha / Juazeiro
,Happens All The Time
US,The Painter
,L'Appart
,Frente A Tu Altar
,Give It To Me
,Take Me Fishin'
,Poesía De Amor
,The Coming Of The King
,Nevermind_ It's An Interview
,She (1997 Digital Remaster)
,Seventeen
,If You Don't Somebody Else Will
US,Up Jumped The Devil
,Free Africa
US,Dodo's Bounce
,Babylon 5
DE,Revolution Action
,The Hardway
,Skate alone
US,The Date ( LP Version )
,Noche Eterna
US,Killer Barracuda
,Sensations
IE,The Burning Season (Live)
,Did You Get My Message?  (Live From Shubas)
US,It's Gonna Be Okay (Original Mix)
,Give Me That Touch (The Touch Up Mix)
,Como Caramelo De Limón
,Työnnä kännykkä hanuriin
JM,Let's Seize The Time
US,Digitaria
DE,Real World
,Liu Zi Zhen Yan
,White Christmas
GB,Canyon
,Who Do You Love
,Teri Nau Ke Paune Teen
US,Battle Hymn Of The Republic
US,Supertouch/shitfit (Bad Brains)
,Don't Want To
,Sparrow (Remastered Album Version)
,Dear Friend
,Heartbreaker
,Sur L'autre rive
,The Beginning (Giro E Giro Mix)
,(Et puis) Elle allait
,Each Time I Think Of You
GB,What's Love Got to Do With It
,Guard Your Grill (LP Version)
,No Stopping Us [Eagles Ballroom Live Version]
US,Take This Trail Trip Beside Me (The Best Of Janet Paschal)
,Joe Sent Me
,Amigo mío
US,All My Life (LP Version)
GB,Beginner's Luck
,Poultry in the Parlour / Rolling the Ryegrass
GB,Terminus
US,The Windsor Tap Recap
,The Devils Crown
US,Rock Me (Live In Boston_ 1970) (1st Show)
US,Rock Star
,Life In Line
US,De Mi Enamorate
US,A Man Holdin' On (To A Woman Lettin' Go)
,The Captain
,Still Waters
US,Better Love Next Time Part 2
,Tibetan Turquoise (World)
GB,Get it Right
US,Best Friends
LB,Ship in a Painting
US,Superfly (Single Mix Version)
US,Don't Say Goodbye (Album Version)
US,Cumayon
,"Because You Loved Me (Theme from ""Up Close and Personal"")"
,The Golden Sea
US,Mean Machine (Remastered LP Version)
,My Little Girl
,Tha Mino Pia Sto Parelthon (2005 Digital Remaster)
,Pop dat shit
,Kimisou Palikari (TH' Allaxi To Feggari) (2004 Digital Remaster)
US,Show Me Your Teeth (Radio Edit)
,Digital [Live at Birmingham University] [2007 Re-mastered]
,Bite Back
US,Jesus Is Coming Soon
,A Nadie Le Interesa Si Quedás Atrás (Total Que...)
,Tearing Everyone Down
,Roadrunner / My Generation
,Near The Cross
US,Plasma (Album Version)
US,Cop It
GB,You Move Me
,Can I Get A Witness
,Left For Dead (Album Version)
,Zapando Con La Gente
,The Obsession
,In The Rain
US,Need (LP Version)
,A Good Life
IE,In This Windy Old Weather
US,Till The End Of The Day (Alternate Mix)
US,Three Romances_ Op. 22: III
,Morse
,Makin' Believe
,Eriatarka
,Adelante
US,Shaggy Dog Songs
US,Trust In The Lord
,Just Say Yes
,Why Do I
,Get It Together
,San Geng Ye Ban
,Tora
DE,02'-15'
,No Escapin' This
JM,Make It With You
US,Permanently Lonely
US,Left Alone...
,Baby (LP Version)
,Abandonada / Blancas azucenas
,Been a Long Time (feat. Paula B) [Club Radio]
US,I'm Living In Canaan Now
GB,The Suit
IE,It's Alright
,Sunday Driver  (LP Version)
,Schitzo
US,If Every Day Could Be Christmas
,Le Chagrin de Coco
,This Is Where It Ends (Album Version)
,A Brief Moment In The Sun
US,Heaven Stood Still
GB,All I Ever
,Rafaniello
JM,Devil Pickney
,Noe Cuando El Diluvio (Sevillanas Biblicas)
GB,Put Him Out
US,You're Laughing Now
,Who In the World (Album Version)
FR,"Pli Selon Pli (""fold according to fold"")/IV.  Improvisation sur Mallarmé III"
US,Quarter P.O.D.
US,Set The World On Fire
US,Red River Falling /O rubor sanguinis
US,Sometimes (LP Version)
,Fire
,Girl by the Lake
,Is It A Sin
,Parchman Farm (LP Version)
,Hello
US,Under The Bayou Moon
,What You Gonna Do - Original
,Everyday
US,A Closure in Infinity
US,With Tears In My Eyes
,He Wasn't Man Enough
,Simple Communication
,2.000 Kilometros
,When Jesus Comes Calling For Me
,It's All Because
,Aloha
,Dik N Ballz
US,Sporting Life Blues (Album Version)
,Man Man
,Panama (Album Version)
,Revival In The Land (Album)
,In My Dreams
,From The Ritz To The Rubble
,The Tarnished Angels (remastered)
US,I'm So Happy Now (Single Version)
US,My Friend the Blind
,I Say No
,Ti Patheno
,Sera Cuestion De Conversar
,Dirty Dancer  (LP Version)
JM,Ali Ba Ba
RU,Down South
,Always And Forever (Bff)  (Power Album Version)
,A Burrinha
US,Yiri Yiri Bon
,Keep The Change
,China
,Evil Woman
,Just in time
,Kyrie Eleison
,Isabel
LV,We'll Learn
,O Smaba Que Eu Não Fiz
,How Many More Years (LP Version)
,Lo
,Trouble in Mind
AR,Bolivian Surf
,Anvi Viv?
GR,Preparation
US,From the East
,Calla
,Abstracto
,I See You
,Ugly MF
,Dr. Bernice
,Cuycha
,And This Too Shall Pass
,Quiere Novio
,In His Name
US,Love Ain't Nothing But a Business Goin On
,The Cross That Bears His Name
,Take It
,You Made Me The Thief Of Your Heart
,Irresistible
,Take The Veil Cerpin Taxt
BE,On Fait Ce Qu'on Peut
,Tumble Down
US,I Gave You Everything
,Meditacao
,For The Singer Of R.E.M.
,Ballad In Urgency
,Electro nicpig
,Mermaid
GB,Come Out Into The Open
,1. Allegro
,Stop! [Demo]
,Don't Upset The Rhythm (Go Baby Go)
,I Put A Spell On You
US,On The Rhyme (Featuring DJ Pete Miser)
,Il Y A Des Anges
,Movin On
FR,Si Tu Veux Le Savoir
,Alright_ Alright_ Alright
,Zi You Zi Zai
,Burma Diginin Eger Er
,Long Live The Party
US,If You're A Viper (LP Version)
US,L4-L5
,Sfm
,Hawaii Blues (Album Version)
,Heaven's In New York
EG,Screen Kiss
US,Long Distance Moan
US,Oh Serena
,Miserere: XVII. Quoniam Si Voluisses
,Bateu No Paladar
US,All Shook Up
,Bad Influence
,Como Boomerang
FR,Quand j'improvise sur mon piano
US,How Ya Like Me Now
GB,Lemons_ For Kevin
,Where Are You
FI,Ihmisen Lento
US,Walking in Faith_ Reprise
,Tha Stand
,Knight -> King 4
US,Up On The Roof (LP Version)
,Nostradamus
,Linda mariposa
US,Miss Ohio's Nameless
US,Get Down
,Musical 69
,Say Say Say (Waiting 4 U) (Tocadisco's Not Guilty Remix)
,Keep on dancin' (Last man standin')
,Dido
US,Steel Guiter Stomp
,I Don't Want Your Love
,Three Little Fishes
US,Submit
US,Rocket
,Belle Isle Players
,Hard Times (feat. Floyd Jones)
US,Abilene
,Amor Siciliano
,Passin' The Faith Along
US,Where Do The Children Play? (LP Version)
,A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission)
US,No Buts - No Maybes
,Junkies 1984
,Wake Me Up
US,Come On (Pt. III)
US,Three Wheel Cadillac
US,Cattle Call
,Voices Of Other Times
,Crow Killer
CA,Dance
US,A Little Louder
US,Misty
